"Variable","median_mda","iqr25","iqr75","Genus"
"Otu00188",0.403050284260542,0.357961896938132,0.456629389961714,"Lachnospiraceae"
"Otu00088",0.402347419292435,0.367674579193326,0.441347236520643,"Ruminococcus2"
"Otu00016",0.401246579413308,0.357233429501575,0.480090942426839,"Bacteroides"
"Otu00027",0.400474563327604,0.378719478715061,0.446958145163268,"Ruminococcus2"
"Otu00023",0.397256833381886,0.359246177435191,0.439603181962956,"Clostridium_sensu_stricto"
"Otu00022",0.396898355210762,0.348006354555331,0.424200950142675,"Alistipes"
"Otu00075",0.395378317408051,0.359680505579478,0.439078352537925,"Clostridium_XI"
"Otu00344",0.393148696059464,0.36032853882566,0.438564659181007,"Clostridiales"
"Otu00260",0.390852386451641,0.345123195044748,0.479556957648645,"Flavonifractor"
"Otu00065",0.388394588198595,0.356420864000827,0.418720896908801,"Odoribacter"
"Otu00040",0.387282198373395,0.355219552090585,0.425426921425733,"Bacteroides"
"Otu00098",0.387230284093964,0.354254063796035,0.432606210996268,"Lachnospiraceae"
"Otu00138",0.386408295758562,0.35273936973185,0.428853623386913,"Blautia"
"Otu00049",0.386231653665315,0.335733406658218,0.421420910451298,"Ruminococcaceae"
"Otu00019",0.385352299788328,0.35116305593161,0.426872263404289,"Ruminococcus2"
"Otu00050",0.383140703579456,0.344326344271082,0.438414097204361,"Parabacteroides"
"Otu00043",0.382727990064614,0.350249996306379,0.431298991980038,"Ruminococcaceae"
"Otu00120",0.38104995059629,0.347293949584062,0.438666686361647,"Lachnospiraceae"
"Otu00017",0.379577442003376,0.334352521132254,0.451794045466376,"Clostridiales"
"Otu00093",0.379490831348433,0.334703729138532,0.398407934485874,"Lachnospiraceae"
"Otu00241",0.379253840374419,0.353460456923279,0.425933851202543,"Pseudomonas"
"Otu00064",0.377454210126997,0.329438293957806,0.424708220668992,"Firmicutes"
"Otu00205",0.376475571293333,0.333916945355719,0.416322700182299,"Clostridium_IV"
"Otu00078",0.374587068938476,0.339352846749695,0.419213864714925,"Turicibacter"
"Otu00113",0.372889398191418,0.350285452988247,0.416421726867573,"Bacteroides"
"Otu00441",0.371261349458709,0.318998083170199,0.484078846590889,"Lactococcus"
"Otu00054",0.370551065104537,0.34103469780942,0.413519328224153,"Blautia"
"Otu00407",0.368948051655372,0.324451353827777,0.427622592201086,"Alistipes"
"Otu00115",0.364046480578245,0.327610807864046,0.405187699887923,"Bilophila"
"Otu00202",0.360821975487565,0.32139515410223,0.402765146472437,"Lachnospiraceae"
"Otu00060",0.360141401402135,0.326919611661958,0.414472789173128,"Veillonella"
"Otu00288",0.360115617214266,0.329513595390251,0.459707877121966,"Lachnospiraceae"
"Otu00207",0.358195515719581,0.322151376978231,0.413650358688335,"Oscillibacter"
"Otu00087",0.358140572352141,0.317064951853234,0.399883358887004,"Clostridiales"
"Otu00234",0.357833860361446,0.307303028723871,0.393309740216119,"Asaccharobacter"
"Otu00189",0.35761793139586,0.323685594635487,0.393079202024884,"Lachnospiraceae"
"Otu00084",0.357468079388135,0.318066661581423,0.506699977607405,"Ruminococcaceae"
"Otu00197",0.35513876842867,0.30920764319121,0.393618568683262,"Clostridium_XVIII"
"Otu00094",0.353814521201113,0.308298575589961,0.38894105502456,"Pasteurellaceae"
"Otu00134",0.35270586557815,0.319011524525843,0.395303970543762,"Actinomyces"
"Otu00279",0.348730664958249,0.31563567336417,0.392105978114302,"Lachnospiraceae"
"Otu00082",0.348280960949851,0.304274434125183,0.370485733633608,"Blautia"
"Otu00161",0.345029513405662,0.290179704584369,0.383786295013811,"Clostridium_XVIII"
"Otu00053",0.341900068010005,0.303557046519212,0.390010591435504,"Butyricimonas"
"Otu00086",0.339401023463594,0.297644875605343,0.369805341073997,"Clostridium_IV"
"Otu00106",0.3383120260256,0.281354829657292,0.370338509277458,"Lachnospiraceae"
"Otu00193",0.335753996426439,0.303657890357721,0.37403313401236,"Lachnospiraceae"
"Otu00128",0.334202516924229,0.305177939888803,0.367533161752088,"Parasutterella"
"Otu00079",0.333771533734759,0.299063557398537,0.381310679633356,"Barnesiella"
"Otu00211",0.333725100697209,0.30377893745717,0.378095630582688,"Clostridium_XlVb"
"Otu00195",0.333484351726771,0.291684396301454,0.370556363910223,"Ruminococcaceae"
"Otu00140",0.333046302571189,0.300068348070055,0.372687733106749,"Faecalibacterium"
"Otu00227",0.331093143246738,0.298750579632163,0.368111994770592,"Eggerthella"
"Otu00464",0.330811425143857,0.2972887257498,0.391860277840726,"Ruminococcaceae"
"Otu00143",0.32880942730744,0.289687021044269,0.364787555179037,"Lachnospiraceae"
"Otu00273",0.32878771338343,0.298946364250583,0.365122828199786,"Clostridium_IV"
"Otu00105",0.327338799317219,0.297396803465909,0.365313853186315,"Ruminococcus"
"Otu00048",0.326835223052703,0.284479036844839,0.361520681794116,"Ruminococcaceae"
"Otu00126",0.322800854375173,0.292442251897367,0.35553755556543,"Akkermansia"
"Otu00081",0.322430205807085,0.290713250853336,0.361947932574524,"Clostridium_XlVa"
"Otu00133",0.321196189840705,0.28520345151929,0.349768399160369,"Clostridium_XlVa"
"Otu00131",0.320408868007073,0.283790595841849,0.376662940079365,"Clostridiales"
"Otu00156",0.320337013625796,0.286959429947845,0.357400472106626,"Ruminococcaceae"
"Otu00238",0.319357015619517,0.278717971207574,0.699741968654043,"Odoribacter"
"Otu00135",0.3189748165009,0.288530535580665,0.352452378042915,"Lachnospiraceae"
"Otu00172",0.31878869208624,0.28188797858195,0.363215019849605,"Oscillibacter"
"Otu00157",0.318020936500732,0.286093171750329,0.352320708060405,"Ruminococcaceae"
"Otu00376",0.31764747796912,0.285513977448903,0.380699556549305,"Clostridium_XlVb"
"Otu00160",0.316298741118079,0.272038305345277,0.336919187816804,"Butyricicoccus"
"Otu00110",0.31161270926271,0.280855263624185,0.354303494240529,"Bifidobacterium"
"Otu00369",0.310483655668498,0.285039884155562,0.3403207419474,"Clostridiales"
"Otu00230",0.310456484169024,0.270399074419244,0.345897871778134,"Clostridium_XlVa"
"Otu00124",0.309901211190821,0.27101120167791,0.348337155498411,"Clostridium_XI"
"Otu00153",0.309307995185481,0.275524844338492,0.352639131287069,"Clostridiales"
"Otu00103",0.308352877271435,0.26596119055463,0.345575180797965,"Bacteroides"
"Otu00372",0.307934817502704,0.275032403943443,0.34033206362337,"Lachnospiraceae"
"Otu00152",0.304328979277683,0.283604320430727,0.340683243605623,"Clostridium_XlVa"
"Otu00236",0.301718791090849,0.254504745394988,0.388486042791903,"Desulfovibrio"
"Otu00296",0.300706766346922,0.268151870323955,0.341075547634527,"Alistipes"
"Otu00162",0.300113931740058,0.260938692892291,0.331669596820989,"Clostridiales"
"Otu00317",0.299873811744506,0.269980841202434,0.33509541964031,"Clostridium_IV"
"Otu00178",0.299579344183975,0.254179824175218,0.326423866531845,"Ruminococcaceae"
