Overall,kegg_id,run
0,K09758,1
0.5005007512521914,K06039,1
3.0812894003374987,K06036,1
0,K06032,1
0,K01581,1
0,K02702,1
0,K02659,1
-0.5005007512521915,K13490,1
0,K13491,1
0,K03644,1
0.5005007512521914,K03645,1
0,K03646,1
-0.5005007512521914,K03647,1
-0.5005007512521914,K03640,1
0,K03641,1
0,K03642,1
0,K03643,1
0,K03648,1
0,K03649,1
-0.8157548015301346,K06694,1
0.3616774380361478,K12428,1
0,K07348,1
0,K07345,1
0,K07344,1
0,K07347,1
0,K07346,1
-0.20786353873310848,K07341,1
0,K07340,1
0,K07343,1
0,K06968,1
0,K06969,1
0,K06962,1
0,K06960,1
0,K06966,1
0,K06967,1
0,K08995,1
0,K08994,1
0,K08997,1
0,K08996,1
0,K08990,1
-0.5005007512521915,K08993,1
0,K08992,1
0,K08999,1
0.5005007512521915,K08998,1
0.8928178684388149,K14940,1
1.001001502504383,K02724,1
-0.5005007512521915,K05928,1
0,K05927,1
1.001001502504383,K05922,1
0,K05921,1
1.2360697946898536,K00349,1
0.5005007512521915,K00340,1
0,K00341,1
0,K00690,1
0,K00343,1
0,K00344,1
0,K00697,1
0.2686046104656533,K00346,1
-0.03566337742105413,K00347,1
0,K09116,1
0.13694020891013503,K09117,1
0,K05337,1
0,K09118,1
0,K02106,1
0,K05823,1
0,K05820,1
0,K05826,1
0.6746223593058764,K05827,1
0,K00524,1
0,K00525,1
0,K00526,1
0,K00527,1
0.5005007512521915,K00520,1
0,K00523,1
0,K02451,1
0,K00528,1
0,K00529,1
0.39058712100481235,K00025,1
0,K03453,1
0,K00796,1
0,K05339,1
0.5005007512521914,K00027,1
0,K00794,1
0,K00793,1
0,K01347,1
0,K00791,1
0,K00790,1
0,K02694,1
0,K02696,1
0,K02697,1
0,K02690,1
0,K02691,1
0,K02692,1
0.5005007512521915,K02693,1
0.5005007512521915,K02698,1
0,K02699,1
0,K00836,1
0,K00837,1
0,K00835,1
0,K00832,1
0,K00833,1
0,K00830,1
0,K00831,1
0,K00839,1
0,K04335,1
-0.12196687950641338,K01120,1
0,K01126,1
0,K01129,1
1.2277240091143684,K01128,1
0,K04338,1
0,K02470,1
-0.5005007512521914,K02471,1
0,K02472,1
0,K02473,1
0,K02474,1
0,K02475,1
0,K02476,1
0,K02477,1
0,K02478,1
0,K02479,1
-0.5005007512521915,K09019,1
0,K01267,1
0,K13075,1
0.17337405220437674,K11441,1
0,K14055,1
-0.5005007512521914,K13292,1
0,K02856,1
0.6171585352736498,K02585,1
-0.5005007512521915,K02854,1
0,K02855,1
0,K08692,1
0,K08693,1
0,K08691,1
0,K08696,1
0,K08697,1
0,K11748,1
-0.5005007512521914,K11749,1
0,K11746,1
-1.1102230246251565e-16,K11747,1
0,K11744,1
-0.5005007512521915,K11745,1
0,K11742,1
0,K11743,1
0,K11740,1
0,K11741,1
1.1102230246251565e-16,K13920,1
4.002167194384096,K13921,1
-0.19363047351516366,K13922,1
2.3964803877259135,K13923,1
0,K13924,1
0,K13925,1
0,K13926,1
-0.5286317022432396,K13927,1
0,K13928,1
0,K13929,1
0,K09923,1
0,K09922,1
0,K06201,1
0,K06200,1
0,K06207,1
0,K06206,1
-0.5005007512521915,K06205,1
0,K09924,1
0,K09929,1
0,K06208,1
1.001001502504383,K00759,1
0,K00758,1
0,K00752,1
0,K00757,1
0,K00756,1
0.5005007512521915,K00754,1
-0.9874786873120254,K06001,1
-0.5049388043745942,K09766,1
-0.43805147270433725,K07150,1
0,K07151,1
0,K07152,1
0,K07153,1
0,K07154,1
0,K07156,1
0,K07157,1
-0.5005007512521915,K07406,1
0,K07407,1
0,K07404,1
-0.3268543895225004,K07405,1
1.1102230246251565e-16,K07402,1
0,K07403,1
0,K07400,1
0,K07401,1
0,K01808,1
-0.2015371445351243,K01809,1
0,K01800,1
0,K01802,1
0,K01803,1
0,K01804,1
0.5005007512521915,K01805,1
0,K01807,1
0,K14666,1
0,K01664,1
0,K01665,1
-0.5412101088182318,K01666,1
-0.1921287524352796,K01667,1
0,K01661,1
0,K01662,1
-0.4361521313052409,K01668,1
0,K01669,1
0,K02863,1
0,K02862,1
-1.001001502504383,K02860,1
0,K02867,1
0,K02864,1
0,K05362,1
0,K05365,1
0,K03402,1
0,K03403,1
0,K03406,1
0,K03407,1
0,K03404,1
0,K03405,1
-0.5005007512521915,K03408,1
0,K03409,1
0,K02315,1
0,K02314,1
0,K02316,1
0,K02313,1
1.001001502504383,K02312,1
0.5005007512521915,K02319,1
0,K12152,1
0,K07091,1
0,K07090,1
0,K07093,1
0,K07095,1
0.5005007512521915,K07094,1
-0.5005007512521915,K07097,1
0,K07096,1
0.7492868072288205,K07099,1
0.5005007512521915,K07098,1
0,K11175,1
0,K11177,1
0,K11179,1
0,K11178,1
0,K00322,1
0,K00320,1
0,K00324,1
0,K00325,1
0,K00329,1
-0.797928649978705,K05945,1
0,K05946,1
0,K06945,1
0,K06946,1
0,K06415,1
-1.1102230246251565e-16,K06940,1
0,K06941,1
0,K06942,1
0,K10806,1
0,K10807,1
0,K10804,1
