mtry,train_r2,test_r2,RMSE,MAE,RMSESD,RsquaredSD,MAESD
32,0.1187727418788501,0.08799996363991036,9.598057030141993,6.673353696695993,3.325344790811083,0.09106329921497013,1.129216637740054
2,0.15781804174461825,0.04049799545970589,9.142686785582713,6.261135087307642,4.018106000780746,0.10655783977327284,1.4111525657783905
2,0.10797683284057476,0.05495270029326105,9.046194013045863,6.2589314636380955,3.0129443681765764,0.10067225824411673,0.9894814397805562
2,0.1267767792980048,0.04903942345119816,8.841427062280145,6.1178600847553035,2.752158319393131,0.10261384307325377,0.8091511062322869
522,0.12155900827804988,0.008381884893583713,8.737288592860008,5.857361477544735,2.889177082004373,0.09001337258832491,0.7141927628663656
522,0.12611785520072688,0.06588492024415993,8.761733303273592,6.100770761760233,3.325184657187156,0.10707304220954675,1.1040521571156061
522,0.1107010550394661,-0.0013496366453411568,10.097136702102187,6.720029389862384,2.972211685515159,0.08308601800559752,1.0272597018737717
2,0.13087244643836088,0.11202708827140917,9.477970547002768,6.444597845770162,3.412980255725117,0.09957022253407806,1.1934071794825987
32,0.13516405546337895,0.10274025102811923,9.620725853262014,6.552389337500501,3.341738838372467,0.08795174389937246,1.0831842318644165
522,0.18332234834438424,0.045864309441000395,8.098807106007287,5.6897644457282,3.3468494282069985,0.11019395940120763,1.2809816180041023
2,0.13761030127103865,0.0458109689423436,8.520654401435202,6.1076397829527025,2.572347633767607,0.11057031253658367,1.100656073552842
32,0.09327677151902801,0.13741401449430302,8.924112629449821,6.258089076802753,3.1529084338175073,0.06479261264129488,1.066942357989705
2,0.13173587027214334,0.034018979333514165,9.311900386728228,6.297946992972104,3.549576682052891,0.09911978958295477,1.201683127953414
2,0.12989729932465993,0.053394735604228805,8.062436419687112,5.778692670692627,2.5318510616853365,0.05889441967686239,0.9081049868369276
2,0.10116329424617557,0.2137824709167968,9.723890697109823,6.579675942242009,3.3181428393034498,0.06351466263858657,0.9848096425691795
32,0.180797099174843,0.005029403343221217,9.042774749010093,6.058986912035023,3.3048941368328997,0.11556443206514988,1.0790744939367893
2,0.13838516339810553,0.026558034281435883,8.789617180626053,6.073239859092178,3.234560816826351,0.0831660829162611,1.1001321101704777
2,0.15107788691634938,0.0517466431654261,8.768936991057904,6.018687019509078,2.915487051937097,0.09544266952093716,0.9258192804797681
2,0.10483972198864797,0.14010966476314046,8.78536823455293,6.039253596644186,3.1767696615075383,0.08942012151849503,1.0593404111334377
2,0.14221951340937522,0.03985975021827848,9.394674303733206,6.256045601886373,3.2746345854338066,0.09698415754746625,0.9890175197565508
2,0.12161037390561748,0.10088910406140739,8.57142508626374,6.062745814893672,2.189270541704611,0.09936409718920165,0.7823809332424894
2,0.1302333887650844,0.02603523326298629,8.494051363971344,5.769682459405794,2.9564840233261758,0.09600958506824121,0.8048446560452936
2,0.11286923536124238,0.17554163163506786,9.569112413422358,6.430476380552353,3.542395134929799,0.08881815710463092,1.2008158030914147
32,0.13302688279037037,0.10497986721991481,8.872080937651527,6.271933530465181,3.2538614516179076,0.08094618157727616,1.093189706586809
522,0.13092712250185748,0.05379147173222498,8.654564712710961,5.92543981624665,2.935562891727152,0.03363407205540327,0.8747615498763491
2,0.11544652405695102,0.06698839933147893,9.156392778833899,6.210049123621924,3.3426619750867728,0.06383504799125636,0.8944035958888487
2,0.10362565496370973,0.09332163433023244,8.986848017014774,6.252878919140577,3.2745531488608473,0.09119118575775821,1.2061453840460623
522,0.12068386910290613,0.05316062160730828,9.120437927124929,6.176132025983308,2.5753987783830103,0.12117702596692305,0.7453934045315703
2,0.13413059613946524,0.08317075331421131,9.476443081888725,6.3955374268956975,3.0924553295052863,0.13946657963754178,0.8616504657397547
2,0.13186494909295488,0.043779444997447015,9.33652769827279,6.333299411069906,3.695656331499338,0.0794986951763174,1.2339287877709482
32,0.14888987716056884,0.024384154529092594,9.169446460433301,6.131050350271571,3.326935642732354,0.10645754972262905,1.0984058092834412
2,0.1265330377870509,0.12546088827248159,9.505397816662867,6.38524358709386,3.218274883374242,0.07775618614772985,0.9158495581201477
522,0.1379612727642484,0.0419285819083538,9.512530074394347,6.268820392711747,3.1621135613966804,0.1324535076672528,1.1696972012968805
32,0.1708469019221648,0.011379758147180064,9.517092352089673,6.431134712975543,3.3222728163634567,0.10937886024537578,1.087812582897286
2,0.14282459881103868,0.08620572454300757,7.613308244079,5.5579295984148605,1.636642916163264,0.10816096649178336,0.8495363230225389
2,0.12700754196663044,0.19508268625537262,9.594790703135752,6.550967872677991,3.9597905858264504,0.08850123581854248,1.4423145521661807
522,0.18390336318509215,0.021789250069634614,8.90903203742117,6.148070501918829,2.687280645842704,0.11998347151658526,0.8527921439033551
2,0.1481567511807967,0.10470068568039992,9.596867689978378,6.50703609261073,3.7182040718111398,0.1410107693908446,1.3308111498206974
2,0.1275804742926826,0.062236588985622565,9.581246440057393,6.548052854176278,3.7477016987481044,0.08345962430768432,1.2893442480358046
522,0.12331864538437556,-0.0069018244703844545,9.634489515507916,6.466644270373139,3.5411937890273966,0.09518572303349478,1.438745634271304
32,0.09352461137420953,0.17226690712772452,8.745375517861259,5.871757603969919,2.8079765748768275,0.07655292154009406,0.7036351539549864
2,0.12008846583394625,0.12616644766067053,9.287588213233803,6.421561969848714,3.681479316998465,0.09779845613262805,1.218925310500463
2,0.16616631626709366,0.06609644018557492,7.718633974782033,5.621372617676424,1.4545177632970194,0.11359354280597009,0.5685822258026809
2,0.11134429201975664,0.022823100022600684,9.030846704858012,6.092056444712139,3.7347562479286993,0.03807357176529737,1.1619611504895841
32,0.09854697263289738,0.1796411529719355,9.319075506463472,6.369989572892695,3.3406435929785006,0.05102127736190294,1.0825184729532946
2,0.16435977884462025,0.04221408912891267,7.345354001130795,5.4688115715291366,1.4484663349079645,0.07647530815779564,0.6520630941108995
