opf_cluster,Comparison,Z,P.unadj,P.adj
SRR5665184_k101_13026_1,Adenoma - Normal,-2.4437616418141537,0.014535025994883526,0.043605077984650575
SRR5665184_k101_13026_1,Cancer - Normal,-1.4078626807178103,0.15917173557396813,0.2387576033609522
SRR5665184_k101_13026_3,Adenoma - Cancer,-1.7787646477337908,0.0752783553465848,0.1129175330198772
SRR5665184_k101_13026_3,Adenoma - Normal,-2.4469778222792895,0.01440597031039504,0.04321791093118512
SRR5665184_k101_13026_3,Cancer - Normal,-0.6682131745454986,0.5039975269439062,0.5039975269439062
SRR5665184_k101_1307_1,Adenoma - Cancer,-1.4611966524795248,0.1439614814529413,0.21594222217941195
SRR5665184_k101_1307_1,Adenoma - Normal,-2.6467517457691994,0.00812689897071192,0.024380696912135756
SRR5665184_k101_1307_1,Cancer - Normal,-1.1855550932896743,0.23579804540187838,0.23579804540187838
SRR5665184_k101_1309_12,Adenoma - Cancer,-1.999451116583906,0.04555956592960473,0.0683393488944071
SRR5665184_k101_1309_12,Adenoma - Normal,-2.7235321793797227,0.0064587923164126275,0.019376376949237883
SRR5665184_k101_1309_12,Cancer - Normal,-0.7240810627958167,0.4690159698988886,0.4690159698988886
SRR5665184_k101_13367_1,Adenoma - Cancer,-3.504751580995699,4.5703352371805566e-4,6.855502855770835e-4
SRR5665184_k101_13367_1,Adenoma - Normal,-4.534583799108179,5.771718372296103e-6,1.7315155116888307e-5
SRR5665184_k101_13367_1,Cancer - Normal,-1.0298322181124808,0.30308877381896904,0.30308877381896904
SRR5665184_k101_13705_3,Adenoma - Cancer,-1.3721298827966133,0.1700230083006332,0.25503451245094977
SRR5665184_k101_13705_3,Adenoma - Normal,-2.546604312747785,0.01087766958265183,0.032633008747955494
SRR5665184_k101_13705_3,Cancer - Normal,-1.1744744299511716,0.24020504803690282,0.24020504803690282
SRR5665184_k101_13917_2,Adenoma - Cancer,-0.7345847744642191,0.4625924134427503,0.4625924134427503
SRR5665184_k101_13917_2,Adenoma - Normal,-2.6141368789592616,0.008945319117454829,0.026835957352364485
SRR5665184_k101_13917_2,Cancer - Normal,-1.8795521044950425,0.060169146021646296,0.09025371903246944
SRR5665184_k101_14003_2,Adenoma - Cancer,0.43871126033472757,0.6608707669257674,0.6608707669257674
SRR5665184_k101_14003_2,Adenoma - Normal,-2.0326955062175656,0.0420832955915317,0.06312494338729754
SRR5665184_k101_14003_2,Cancer - Normal,-2.471406766552293,0.013458263928422922,0.04037479178526877
SRR5665184_k101_14194_2,Adenoma - Cancer,-1.1191015340552328,0.26309682548100255,0.26309682548100255
SRR5665184_k101_14194_2,Adenoma - Normal,-2.871656766632298,0.004083261978811534,0.012249785936434603
SRR5665184_k101_14194_2,Cancer - Normal,-1.7525552325770652,0.07967838132192616,0.11951757198288923
SRR5665184_k101_14276_1,Adenoma - Cancer,-2.6187701772434506,0.008824737890336694,0.026474213671010084
SRR5665184_k101_14276_1,Adenoma - Normal,-2.139392791241773,0.0324038702789104,0.04860580541836561
SRR5665184_k101_14276_1,Cancer - Normal,0.47937738600167773,0.6316701782229797,0.6316701782229797
SRR5665184_k101_14283_1,Adenoma - Cancer,0.2613054477628371,0.7938569657727378,0.7938569657727378
SRR5665184_k101_14283_1,Adenoma - Normal,-2.978882104496349,0.0028930206753103615,0.0043395310129655425
SRR5665184_k101_14283_1,Cancer - Normal,-3.240187552259186,0.0011945110266550559,0.0035835330799651676
SRR5665184_k101_14525_1,Adenoma - Cancer,-2.569047645169017,0.010197843538670296,0.03059353061601089
SRR5665184_k101_14525_1,Adenoma - Normal,-2.286040257519382,0.02225190351041877,0.033377855265628156
SRR5665184_k101_14525_1,Cancer - Normal,0.2830073876496352,0.7771711738956735,0.7771711738956735
SRR5665184_k101_1455_1,Adenoma - Cancer,0.035735631291002615,0.9714931590253701,0.9714931590253701
SRR5665184_k101_1455_1,Adenoma - Normal,-2.547440002030043,0.01085165116277531,0.016277476744162963
SRR5665184_k101_1455_1,Cancer - Normal,-2.5831756333210456,0.009789547287236322,0.02936864186170897
SRR5665184_k101_14590_3,Adenoma - Cancer,-2.171034804882996,0.029928541524808845,0.04489281228721327
SRR5665184_k101_14590_3,Adenoma - Normal,-2.5657684057708137,0.01029475385256584,0.030884261557697516
SRR5665184_k101_14590_3,Cancer - Normal,-0.3947336008878175,0.6930395023540283,0.6930395023540283
SRR5665184_k101_15027_1,Adenoma - Cancer,1.4034604988708606,0.16047956321986775,0.16047956321986775
SRR5665184_k101_15027_1,Adenoma - Normal,-2.3637229454667152,0.01809233708047573,0.027138505620713595
SRR5665184_k101_15027_1,Cancer - Normal,-3.767183444337576,1.650996865179085e-4,4.952990595537255e-4
SRR5665184_k101_15054_1,Adenoma - Cancer,-1.567960859821502,0.11689026701651707,0.17533540052477561
SRR5665184_k101_15054_1,Adenoma - Normal,-2.68104076690358,0.007339357421161839,0.022018072263485518
SRR5665184_k101_15054_1,Cancer - Normal,-1.1130799070820778,0.2656741123755443,0.2656741123755443
SRR5665184_k101_15154_5,Adenoma - Cancer,-1.2869957633910751,0.19809576480997565,0.19809576480997565
SRR5665184_k101_15154_5,Adenoma - Normal,-2.7376742797321385,0.006187532547912805,0.018562597643738417
SRR5665184_k101_15154_5,Cancer - Normal,-1.4506785163410634,0.1468694004456419,0.22030410066846284
SRR5665184_k101_152_2,Adenoma - Cancer,-2.594284990171438,0.009478787991199557,0.028436363973598673
SRR5665184_k101_152_2,Adenoma - Normal,-0.285577790695264,0.7752015158045351,0.7752015158045351
SRR5665184_k101_152_2,Cancer - Normal,2.3087071994761743,0.020959834571837907,0.03143975185775686
SRR5665184_k101_15306_1,Adenoma - Cancer,0.07406118920446661,0.940961696942511,0.940961696942511
SRR5665184_k101_15306_1,Adenoma - Normal,-2.5442196762004836,0.010952218150872148,0.01642832722630822
SRR5665184_k101_15306_1,Cancer - Normal,-2.6182808654049503,0.008837403250815414,0.026512209752446243
SRR5665184_k101_1538_2,Adenoma - Cancer,-1.5519187129450778,0.12068167476416755,0.1810225121462513
SRR5665184_k101_1538_2,Adenoma - Normal,-3.057922671069295,0.0022287708171920325,0.0066863124515760975
SRR5665184_k101_1538_2,Cancer - Normal,-1.506003958124217,0.132066157581758,0.132066157581758
SRR5665184_k101_15459_1,Adenoma - Cancer,-2.3306394661713967,0.019772378599656523,0.029658567899484782
SRR5665184_k101_15459_1,Adenoma - Normal,-3.5263348321100407,4.2135389246893774e-4,0.0012640616774068133
SRR5665184_k101_15459_1,Cancer - Normal,-1.195695365938644,0.2318154604096294,0.2318154604096294
SRR5665184_k101_15520_6,Adenoma - Cancer,-2.1866480280042544,0.02876822835657175,0.04315234253485763
SRR5665184_k101_15520_6,Adenoma - Normal,-3.128684696274276,0.0017559061801960525,0.005267718540588158
SRR5665184_k101_15520_6,Cancer - Normal,-0.9420366682700215,0.3461738668821366,0.3461738668821366
SRR5665184_k101_15662_7,Adenoma - Cancer,1.4195000427539053,0.15575328440885136,0.23362992661327703
SRR5665184_k101_15662_7,Adenoma - Normal,-1.1406696772129592,0.2540074096567778,0.2540074096567778
SRR5665184_k101_15662_7,Cancer - Normal,-2.5601697199668645,0.010462105602310182,0.03138631680693055
SRR5665184_k101_15751_1,Adenoma - Cancer,-2.5760738145730655,0.00999293109321548,0.02997879327964644
SRR5665184_k101_15751_1,Adenoma - Normal,-1.7836511085685245,0.07448037527744542,0.11172056291616812
SRR5665184_k101_15751_1,Cancer - Normal,0.792422706004541,0.4281142442207552,0.4281142442207552
SRR5665184_k101_15890_1,Adenoma - Cancer,-1.5607561583893246,0.11858129529807099,0.17787194294710648
SRR5665184_k101_15890_1,Adenoma - Normal,-2.4625263832364914,0.013796202223342423,0.04138860667002727
SRR5665184_k101_15890_1,Cancer - Normal,-0.9017702248471665,0.3671789397921608,0.3671789397921608
SRR5665184_k101_15890_2,Adenoma - Cancer,-1.6822709365567052,0.0925163141669983,0.13877447125049747
SRR5665184_k101_15890_2,Adenoma - Normal,-2.5666648003465165,0.010268181914522254,0.030804545743566763
SRR5665184_k101_15890_2,Cancer - Normal,-0.8843938637898111,0.37648363426267323,0.37648363426267323
SRR5665184_k101_15907_1,Adenoma - Cancer,-0.35951410111884624,0.7192105308217744,0.7192105308217744
SRR5665184_k101_15907_1,Adenoma - Normal,-2.3716333444775564,0.017709655117500327,0.05312896535250098
SRR5665184_k101_15907_1,Cancer - Normal,-2.0121192433587103,0.04420736862242339,0.06631105293363508
SRR5665184_k101_16032_1,Adenoma - Cancer,-2.8658129384600928,0.004159399445412223,0.01247819833623667
SRR5665184_k101_16032_1,Adenoma - Normal,-2.3029364191414103,0.0212824206854256,0.0319236310281384
SRR5665184_k101_16032_1,Cancer - Normal,0.5628765193186827,0.5735189702378767,0.5735189702378767
SRR5665184_k101_16032_2,Adenoma - Cancer,-2.5210765180909736,0.011699640746789983,0.017549461120184975
SRR5665184_k101_16032_2,Adenoma - Normal,-2.7084538268680047,0.006759751737512374,0.020279255212537123
SRR5665184_k101_16032_2,Cancer - Normal,-0.187377308777031,0.8513648124797513,0.8513648124797513
SRR5665184_k101_16040_3,Adenoma - Cancer,-2.8378695796318283,0.0045415735417498404,0.013624720625249522
SRR5665184_k101_16040_3,Adenoma - Normal,-2.266528580192677,0.023419039318780296,0.035128558978170445
SRR5665184_k101_16040_3,Cancer - Normal,0.5713409994391512,0.5677685148578919,0.5677685148578919
SRR5665184_k101_16065_1,Adenoma - Cancer,-1.6452502801513267,0.09991820852336923,0.14987731278505384
SRR5665184_k101_16065_1,Adenoma - Normal,-2.673531705245906,0.007505718089859067,0.022517154269577202
SRR5665184_k101_16065_1,Cancer - Normal,-1.0282814250945798,0.303817465993555,0.303817465993555
SRR5665184_k101_16111_6,Adenoma - Cancer,-2.7176188617963883,0.006575353311185649,0.019726059933556948
SRR5665184_k101_16111_6,Adenoma - Normal,-1.3341536146117359,0.1821535177821971,0.1821535177821971
