sample_name,cluster_group,final_abund
SRR5665025,5,28.133528659227398
SRR5665025,6,1752.6806070131656
SRR5665025,7,754.0851249465063
SRR5665025,8,5999.720516688095
SRR5665025,9,8632.552137378103
SRR5665025,10,2053.844242384462
SRR5665025,11,5743.28173946331
SRR5665025,12,4759.075425731524
SRR5665025,13,104.39503079653407
SRR5665025,14,4541.449509987619
SRR5665025,15,0
SRR5665025,16,903.342366757001
SRR5665025,17,4329.310910564337
SRR5665025,18,49.74491102359005
SRR5665025,19,2890.806273320066
SRR5665025,20,0
SRR5665025,21,75.3722917595431
SRR5665025,22,1759.1159768448715
SRR5665025,23,1202.832870296466
SRR5665025,24,0
SRR5665025,25,2427.088781059617
SRR5665025,26,961.5384615384615
SRR5665025,27,77.36943907156673
SRR5665025,28,135.35799495738144
SRR5665025,29,0
SRR5665025,30,0
SRR5665025,31,92.80244685823969
SRR5665025,32,0
SRR5665025,33,199.83709010926827
SRR5665025,34,204.71249628090743
SRR5665025,35,2696.3170319708584
SRR5665025,36,0
SRR5665025,37,7616.705097692825
SRR5665025,38,0
SRR5665025,39,6178.42286975448
SRR5665025,40,61.86400511547997
SRR5665025,41,0
SRR5665025,42,0
SRR5665025,43,35959.279257341834
SRR5665025,44,52.968154358872596
SRR5665025,45,0
SRR5665025,46,3118.645856272387
SRR5665025,47,22.39312807968178
SRR5665025,48,4368.714222470295
SRR5665025,49,7045.877564724826
SRR5665025,50,101.88184236857472
SRR5665025,51,8785.693287208223
SRR5665025,52,0
SRR5665025,53,247.62655680168504
SRR5665025,54,0
SRR5665025,55,9111.598023556817
SRR5665025,56,0
SRR5665025,57,11115.61507461663
SRR5665025,58,0
SRR5665025,59,0
SRR5665025,60,0
SRR5665025,61,4682.646154467295
SRR5665025,62,0
SRR5665025,63,5576.923276821069
SRR5665025,64,82.19279972328471
SRR5665025,65,0
SRR5665025,66,1633.22443152795
SRR5665025,67,975.0763561263467
SRR5665025,68,0
SRR5665025,69,236.52482450906743
SRR5665025,70,80.48823941858691
SRR5665025,71,4470.661931108658
SRR5665025,72,0
SRR5665025,73,874.8906386701661
SRR5665025,74,827.8145695364238
SRR5665025,75,2808.3946363651235
SRR5665026,0,3955.983319343452
SRR5665026,1,16097.836386237106
SRR5665026,2,18.784634169249554
SRR5665026,3,4795.464525301184
SRR5665026,4,1228.631633489595
SRR5665026,5,19.160000048917343
SRR5665026,6,142.71065679317084
SRR5665026,7,80.45128868974273
SRR5665026,8,7704.95691170171
SRR5665026,9,2989.0007422567173
SRR5665026,10,4401.836023539155
SRR5665026,11,47449.90434156618
SRR5665026,12,5669.4491758352215
SRR5665026,13,0
SRR5665026,14,5772.306815656229
SRR5665026,15,3755.868544600939
SRR5665026,16,1177.1630370806356
SRR5665026,17,4544.814563463222
SRR5665026,18,51.28396991560523
SRR5665026,19,4302.117644303253
SRR5665026,20,0
SRR5665026,21,61.354785391104834
SRR5665026,22,1634.454935361461
SRR5665026,23,5413.496343187988
SRR5665026,24,0
SRR5665026,25,2428.7211367285345
SRR5665026,26,0
SRR5665026,27,21265.507483075853
SRR5665026,28,65.26136835731056
SRR5665026,29,0
SRR5665026,30,0
SRR5665026,31,5914.913959966925
SRR5665026,32,0
SRR5665026,33,136.77881393916644
SRR5665026,34,214.04109589041096
SRR5665026,35,3958.208607664732
SRR5665026,36,0
SRR5665026,37,181.19662845902883
SRR5665026,38,0
SRR5665026,39,3227.4500188898483
SRR5665026,40,59.064646729424
SRR5665026,41,0
SRR5665026,42,0
SRR5665026,43,42329.5383789077
SRR5665026,44,2527.7490152462447
SRR5665026,45,0
SRR5665026,46,1579.2936482267557
SRR5665026,47,1037.5705982020033
SRR5665026,48,7180.586452643269
SRR5665026,49,9548.950099835094
SRR5665026,50,71.01871651146979
SRR5665026,51,11038.585963397181
SRR5665026,52,0
SRR5665026,53,425.6771219072935
SRR5665026,54,0
SRR5665026,55,5687.891032141413
SRR5665026,56,0
SRR5665026,57,46387.20434180314
SRR5665026,58,0
SRR5665026,59,0
SRR5665026,60,0
SRR5665026,61,14379.392208994754
SRR5665026,62,0
SRR5665026,63,5383.502859531287
SRR5665026,64,38.88235548889535
SRR5665026,65,0
SRR5665026,66,964.396746282725
SRR5665026,67,1042.3562359010489
SRR5665026,68,0
SRR5665026,69,0
SRR5665026,70,0
SRR5665026,71,5030.755644360124
SRR5665026,72,21701.38888888889
SRR5665026,73,583.2604257801108
SRR5665026,74,3311.2582781456954
SRR5665026,75,2277.1039798099405
SRR5665027,0,19461.8343460066
SRR5665027,1,2168.8332959150016
SRR5665027,2,0
SRR5665027,3,7165.558117912156
SRR5665027,4,2147.3764664663518
SRR5665027,5,21.56596340330344
SRR5665027,6,891.7288308546921
SRR5665027,7,175.55526621453376
SRR5665027,8,7149.084000382405
SRR5665027,9,11821.387545611908
SRR5665027,10,0
SRR5665027,11,3575.3523286421832
SRR5665027,12,5984.327774172367
SRR5665027,13,0
SRR5665027,14,6413.614653251127
SRR5665027,15,2816.9014084507044
SRR5665027,16,1471.4537963507946
SRR5665027,17,5554.148831659686
SRR5665027,18,147.2963900478204
SRR5665027,19,1130.6058371423169
SRR5665027,20,0
SRR5665027,21,373.0048567734676
SRR5665027,22,11.262783258998963
SRR5665027,23,369.36059412597837
SRR5665027,24,0
SRR5665027,25,1944.8501689865986
SRR5665027,26,0
SRR5665027,27,0
SRR5665027,28,57.83286939265347
SRR5665027,29,0
SRR5665027,30,336.92722371967653
SRR5665027,31,243.77936921525395
SRR5665027,32,0
SRR5665027,33,67.33137829663474
SRR5665027,34,71.34703196347031
SRR5665027,35,2423.7139455603315
SRR5665027,36,8159.564823209429
SRR5665027,37,0
SRR5665027,38,0
SRR5665027,39,2704.1501070948225
SRR5665027,40,45.17051172750155
SRR5665027,41,0
SRR5665027,42,1942.2321161139673
SRR5665027,43,43212.79758490203
SRR5665027,44,17.983347420288812
SRR5665027,45,0
SRR5665027,46,888.1336118547523
SRR5665027,47,65.95303678554116
SRR5665027,48,4173.588396885423
SRR5665027,49,16230.37141182817
SRR5665027,50,443.54063115880115
SRR5665027,51,13878.339355851263
SRR5665027,52,7550.731477111845
SRR5665027,53,486.8408724239775
SRR5665027,54,0
SRR5665027,55,1764.0711001760633
SRR5665027,56,0
SRR5665027,57,21879.28471415712
SRR5665027,58,51.61556725508413
SRR5665027,59,0
SRR5665027,60,0
SRR5665027,61,8063.191959386722
SRR5665027,62,0
SRR5665027,63,2432.7295849781453
SRR5665027,64,110.95446769106186
SRR5665027,65,2971.7682020802376
SRR5665027,66,744.4280352890516
SRR5665027,67,1005.4937557804143
SRR5665027,68,0
SRR5665027,69,0
SRR5665027,70,0
SRR5665027,71,5468.719716503826
SRR5665027,72,0
SRR5665027,73,5118.362124120282
SRR5665027,74,0
SRR5665027,75,3450.6687579679706
SRR5665028,0,9021.620081250168
SRR5665028,1,2224.276681765066
SRR5665028,2,0
SRR5665028,3,7955.589315449147
SRR5665028,4,2369.3917109519234
SRR5665028,5,29.122274177029446
SRR5665028,6,415.7956685729446
SRR5665028,7,5524.212533182325
SRR5665028,8,8551.03587176543
SRR5665028,9,5381.762368085033
SRR5665028,10,2322.329335086258
SRR5665028,11,8229.653028207618
SRR5665028,12,10553.303804031975
SRR5665028,13,0
SRR5665028,14,12257.411750397936
SRR5665028,15,0
SRR5665028,16,7062.978222483814
SRR5665028,17,10744.428679994431
SRR5665028,18,8444.383117596144
SRR5665028,19,6822.672621908459
SRR5665028,20,0
SRR5665028,21,2.2373881291937088
SRR5665028,22,0
SRR5665028,23,2548.07208922964
SRR5665028,24,0
SRR5665028,25,7635.212950475889
SRR5665028,26,9615.384615384615
SRR5665028,27,0
SRR5665028,28,69.1209652848456
SRR5665028,29,642.6735218508998
SRR5665028,30,0
SRR5665028,31,5.680231776564518
SRR5665028,32,0
SRR5665028,33,315.19906861348545
SRR5665028,34,0
SRR5665028,35,2057.6626600985473
SRR5665028,36,0
SRR5665028,37,380.47965564132295
SRR5665028,38,0
SRR5665028,39,18542.52990797147
SRR5665028,40,652.0154567962306
SRR5665028,41,0
SRR5665028,42,286.1686293699441
